KEY	INTPTLAT10	INTPTLON10
371	41.4669984	-90.1758773
372	41.4538289	-90.1829495
373	41.4528385	-90.118202
374	41.4489318	-90.149995
375	41.5067814	-90.2244588
376	41.2677424	-89.898849
377	41.2087507	-89.9118384
378	41.1586456	-90.0402782
379	41.2426697	-89.9568418
380	41.4786996	-90.3712896
381	41.2395048	-89.8814389
382	41.2402467	-89.9249572
383	41.2363319	-89.9226959
384	41.258144	-89.880569
385	41.2674733	-89.9457358
386	41.246359	-89.9153808
387	41.2412766	-89.9346546
388	41.307627	-90.3887268
389	41.1877943	-90.375523
390	41.3572828	-90.3853605
391	41.2314239	-89.9258629
392	41.1789181	-89.930967
393	41.4590663	-90.3455556
394	37.1831543	-89.1168334
395	37.1006402	-89.1645297
396	37.2662601	-89.0434869
397	37.2740321	-88.9742239
398	37.1671457	-89.2046954
399	37.2427032	-89.1836044
400	37.2975213	-89.1725056
401	37.1115351	-89.2233114
402	40.0953806	-88.2200911
403	40.3337454	-88.1424525
404	40.3288068	-88.1268354
405	40.377898	-88.1846098
406	40.0620286	-88.1760312
407	40.1066341	-88.2246651
408	40.1036738	-88.2144056
409	40.3636985	-88.0693786
410	40.2154696	-88.4030266
411	40.3209678	-88.1388639
412	40.1906596	-88.402862
413	40.1963785	-88.4439823
414	40.2036462	-88.3733637
415	40.3111398	-88.1471265
416	40.2636991	-88.41299
417	40.0938198	-87.9633589
418	40.1303561	-88.2869354
419	40.1327896	-88.2172033
420	40.131267	-88.2023903
421	40.115961	-88.2433
422	40.1206748	-88.2225165
423	40.1637094	-87.9695826
424	39.9203412	-88.2958972
425	40.0180597	-88.1947392
426	40.1851116	-88.340511
427	40.1337155	-88.147869
428	40.1140088	-88.208251
429	40.1695679	-88.400856
430	40.0037589	-88.1566588
431	40.1303327	-88.2617658
432	40.0931822	-88.2997102
433	40.2432109	-88.1882838
434	39.9306883	-88.3969223
435	40.0202954	-88.0726541
436	40.0178458	-88.2850305
437	40.1144509	-88.0274737
438	40.1132322	-88.0463643
439	40.1338964	-88.0391224
440	40.0035817	-88.03826
441	40.1022147	-88.2905791
442	40.0348075	-87.957711
443	40.0003667	-88.250456
444	39.9878166	-88.2477143
445	40.0954958	-88.2811051
446	40.0885496	-88.2823644
447	40.0883969	-88.2908894
448	40.0951594	-88.2917613
449	40.1059344	-88.3095766
450	40.1270696	-88.2706349
451	40.0939301	-88.2619335
452	40.0877851	-88.2702398
453	40.3582483	-88.3926384
454	40.3478303	-88.280734
455	40.1346415	-88.2700163
456	40.0921241	-88.2506773
457	40.1174553	-88.2792825
458	40.0911562	-88.3104012
459	40.0942823	-88.2711291
460	40.0656127	-88.2640327
461	40.1145287	-88.2305197
462	40.1065224	-88.2344398
463	40.0886641	-88.2390733
464	40.1197389	-88.2343525
465	40.061037	-88.2439258
466	40.1057144	-88.3000901
467	40.124194	-88.324038
468	40.1281806	-88.2316247
469	40.0766333	-88.252439
470	40.2948779	-88.1437496
471	40.1466224	-88.2702234
472	40.150916	-88.2331002
473	40.1060788	-88.2466071
474	40.1144129	-88.2383267
475	40.1072505	-88.2310994
476	40.1107882	-88.2387475
477	40.1105925	-88.2328037
478	40.1066419	-88.2405465
479	40.1010393	-88.2510936
480	40.1108133	-88.2514516
481	40.1064402	-88.2532715
482	40.1325706	-88.236242
483	40.1065986	-88.2858348
484	40.1111053	-88.286334
485	40.3006639	-88.1727938
486	40.0037998	-88.3780657
487	40.1065888	-88.2370289
488	40.2744966	-88.1445929
489	40.2746172	-88.2990381
490	40.1212307	-88.1874148
491	39.9315562	-88.0761623
492	40.1146732	-88.2251652
493	40.1307141	-88.2501146
494	40.1217011	-88.2505163
495	40.1250364	-88.2472219
496	40.1182399	-88.2540043
497	40.1144562	-88.2539597
498	40.1164024	-88.2484625
499	40.1028722	-88.2680402
500	40.1153677	-88.2759061
501	40.3077795	-88.1551757
502	40.1040759	-88.3977812
503	40.1369435	-88.1829741
504	40.1145035	-88.2186972
505	40.1189333	-88.2088763
506	40.1074272	-88.2050659
507	40.1246208	-88.1965427
508	40.1238204	-88.2038105
509	40.1154482	-88.2614249
510	40.1019617	-88.2801204
511	40.0721833	-88.2210177
512	40.1237259	-88.2264872
513	40.1153599	-88.2679511
514	40.0865667	-88.2624687
515	40.1390214	-88.2013291
516	40.1304818	-88.1906949
517	40.0824695	-88.3304876
518	40.1145117	-88.2337549
519	40.1136538	-88.1496072
520	40.1136088	-88.1942517
521	40.0927781	-88.1972516
522	40.0888316	-88.2065894
523	40.1118874	-88.2145591
524	40.110045	-88.2129132
525	40.1072162	-88.2624387
526	40.3074374	-88.0257012
527	40.091449	-88.3235586
528	40.1352953	-88.0759013
529	40.2928612	-88.1586324
530	40.1842264	-88.2352997
531	40.1203705	-88.2638408
532	40.1108601	-88.267363
533	40.0693539	-88.2899562
534	40.1121192	-88.2223143
535	40.1090305	-88.1944678
536	40.0883272	-88.1526529
